"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.4888063555081","94.7704911076312","95.0521758597543","95.3338606118775","95.6155453640006","95.8972301161238","96.178914868247","96.4605996203701","96.7422843724932","97.0239691246164","97.3056538767395","97.5873386288627","97.8690233809859","97.8690233809859","97.8690233809859","97.8690233809859","97.8690233809859","","","","","","","","",
"Africa Eastern and Southern","AFE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8014561716086","42.4819599251786","43.1863263348469","43.8968516397568","44.6110634186274","45.4098885710598","46.2127922036819","46.9835191123466","47.8374640151551","48.6975252764252","49.554830774864","50.236229315704","51.067002224596","51.8981221151313","52.7338644625603","53.5853689494357","54.3930562227227","55.2105403025537","56.0498365075383","56.8582341222769","57.6269508860058","58.3775560940718","59.1074611916093","","",
"Afghanistan","AFG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4418560941262","27.4735802318339","29.6748627315109","31.8755891610669","34.0944312907889","36.3312261244574","38.5671193339185","41.0836738960922","43.6326087182233","46.2137626459091","48.8269685242371","51.4723764683198","54.1494916362474","56.8581415948124","59.5981581738121","62.3696595585624","65.1721622599667","68.0088715856643","70.8799408932308","73.7846429967308","76.72225540254","79.6930784589074","82.1753711181706","","",
"Africa Western and Central","AFW","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6735981708834","51.5954279230004","52.64702549751","53.7006256325755","54.7629985255924","55.8335547558746","56.9068088507774","57.9784088891929","59.0465441271436","60.1171492505861","61.1904714085778","62.272673084149","63.354463319362","64.4339443984813","65.5168340479879","66.6013613224581","67.6782973046358","68.7514757143405","69.8274258053892","70.8869373855596","71.942470233067","73.0374631137978","74.1581519711725","","",
"Angola","AGO","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1443097881583","42.254675873402","43.3768004555676","44.3638728219385","45.351334802482","46.336018417288","47.1502307724816","47.9614692762391","48.7704037164953","49.5751644888688","50.3768404281237","51.1748356552453","51.9685419144087","52.7573457655021","53.5415077905239","54.316930612657","55.0842725132132","55.842909522296","56.5917487678333","56.8830374949169","57.1677379228367","57.4467255251773","57.7195606692859","","",
"Albania","ALB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3970439494077","86.9040684917649","87.4516357159612","87.9871967181199","88.5105812614285","89.0211858391228","89.5191349968004","90.0041903832584","90.4761498369914","90.9344096153208","91.3794796111017","91.8108885574113","92.2287785293112","92.631596058428","93.0200580597032","93.3943239683645","93.7548779094968","94.1020962002701","94.4363934347219","94.7582247174548","95.0680388145809","95.0815134425003","95.0945635220358","","",
"Andorra","AND","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999994632633","100","100","100","100","99.9999978782282","100","100","100","100","99.9999980744897","100","99.9999980016794","100","100","100","99.99999600335","100","99.9999955655473","99.9999967920626","99.9999985271439","100","100","","",
"Arab World","ARB","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0746359769711","78.3525605289836","78.6557998534139","79.0491945763182","79.4397719047755","79.9556635031138","80.5028017966008","81.004294499239","81.5543959040149","82.0801690304308","82.6000795808703","83.1547997929833","83.7043737407234","84.2239840937689","84.7294739764029","86.2004011242312","86.655585633407","87.0519862244516","87.506251843851","87.8867263034788","88.284415049611","88.5470561183935","88.6955493700617","","",
"United Arab Emirates","ARE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6158329815122","99.6138876852048","99.6347976445508","99.6559646312272","99.6773750061675","99.6990302515039","99.7209169834186","99.7430408853506","99.7654102578395","99.7879943478235","99.810795681157","99.8338057352249","99.8570110781205","99.8804085301789","99.9039888768332","99.9277462664831","99.9516757226023","99.9757576983494","100","100","100","100","100","","",
"Argentina","ARG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2840257442126","96.5228198652942","96.7554692969689","96.9824166198558","97.2043461157274","97.4211883068913","97.6332141757066","97.8403601049127","98.0428781125276","98.2407291145394","98.4340478989156","98.6218627766521","98.8052936559107","98.8641989604982","98.9232479851466","98.9823081880311","99.0413737808333","","","","","","","","",
"Armenia","ARM","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.3321795073804","95.5879594087231","95.8591152115814","96.1368622367153","96.4166622270609","96.6984595839147","96.9824019913165","97.2683671383451","97.5564813624504","97.8466429888613","98.138914628293","98.4333104571316","98.7298229038946","99.0289249197273","99.3248756665526","99.5245608325277","99.5293510076689","99.5344075573623","99.9148284891593","99.9281719305937","99.9415163996124","99.9548941126002","99.9683044970836","","",
"American Samoa","ASM","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.9322903901615","95.1859645914257","95.4396387926897","95.6933129939538","95.9469871952179","96.200661396482","96.454335597746","96.7080097990101","96.9616840002742","97.2153582015383","97.4690324028023","97.7227066040664","97.9763808053305","98.2300550065946","98.4837292078587","98.7374034091227","98.9910776103868","99.2447518116509","99.2447518116509","99.2447518116509","99.2447518116509","99.2447518116509","","","",
"Antigua and Barbuda","ATG","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3665557888391","98.3661765475755","98.3658215623444","98.365707226978","98.3655938007866","98.36547509164","98.3653622690749","98.3652624014084","98.3651754449695","98.365100591671","98.3650387230105","98.3649937785451","98.364957284814","98.3649356183032","","",
"Australia","AUS","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.7122951850974","99.7112440939618","99.7121932942878","99.7343585407436","99.756343263422","99.7781486825672","99.7997739521724","99.8212541640962","99.8425551218213","99.8636747098466","99.8831444931569","99.891961822547","99.9007695926109","99.9095893912989","99.9614764144689","99.9700009039845","99.9699666761373","99.9699375056336","99.9698937678204","99.9698543658953","99.9698176501115","99.9697746715914","99.9697313918139","","",
"Austria","AUT","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999997317949","100","99.9999992989147","99.9999970414865","99.9999975141402","99.9999992165691","100","99.9999990816826","99.9999983100254","100","100","99.9999994181032","99.9999966635574","99.999997857895","100","99.9999988248374","100","100","99.9999993151203","99.9999965908061","100","100","99.9999993664088","","",
"Azerbaijan","AZE","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4165803447003","74.6393821043784","75.870284030868","77.1098309119725","78.3574990243862","79.612829992789","80.8760045897352","82.147139457549","83.4255074202882","84.7112487261523","86.0078827586649","87.3142629577106","88.6295060271887","89.9528553019617","91.2831530135521","92.5693237263402","93.3531599265287","94.1312333998885","94.9029767874904","95.667747770716","96.3620821780168","97.0071020730201","97.6421868392552","","",
"Burundi","BDI","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6631178584695","51.2344752955927","51.8093345293413","52.3873260532119","52.9684349998327","53.5526302502999","54.1402304455378","54.730870293527","55.3251988251528","55.9221740462688","56.5231180583941","57.12765967771","57.7354291237771","58.3474042437146","58.9625419122028","59.5814707751426","60.2041529609438","60.8305474667327","61.4606181708142","62.094321278238","62.2071212739845","62.3225644521915","62.4409754907774","","",
"Belgium","BEL","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9999969007735","99.9999985672575","100","99.999996655624","100","100","99.999998327484","99.9999976236059","99.9999954798535","99.9999987545871","99.9999993558678","99.9999957871607","99.9999988236868","99.9999956364419","99.9999985626867","99.9999962819912","100","99.999998377684","100","100","99.9999962634716","100","100","","",
"Benin","BEN","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7404116172502","62.0016480421804","62.2761523914598","62.5732994284283","62.8659664905111","63.1536621577974","63.436586737944","63.7149109429296","63.988382437498","64.2565643451351","64.5198486890521","64.7781966695834","65.0315792739664","65.2795997940444","65.5234749625524","65.7627587295769","65.9973620315647","66.2271993300877","66.4521978786729","66.672267150753","66.8873289474628","67.1259091455631","67.360269806167","","",
"Burkina Faso","BFA","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.5604209016516","57.7408444436632","57.267023312211","56.8000783226111","56.34175965484","55.8918762289044","55.4522332956733","54.9708726323817","54.4522322239556","53.9354603738644","53.4217027865086","52.911489902673","52.404975540789","51.9026696621386","51.4054752913412","50.9135475105506","50.4274106086425","49.9463232303629","49.4711614198344","49.0028525018525","48.5409861511794","49.02263050914","49.5058741648756","","",
"Bangladesh","BGD","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.8189212128758","94.9936859433404","95.1737696316763","95.3525625591624","95.5299724790634","95.7089575160626","95.8847117824058","96.0570984545243","96.2259786038382","96.3912331775333","96.5528253694261","96.710597256145","96.864384577712","97.0140618269523","97.1596636760135","97.3011010904708","97.4383909094007","97.5714932946819","97.700411546896","97.8251365713411","97.945676020447","98.0330197120009","98.0970629849078","","",
"Bulgaria","BGR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.8130157809927","99.7714310301605","99.7306127563437","99.690523007554","99.6511635856141","99.6125227618648","99.5745885395144","99.537361240608","99.5008324211481","99.4649918256127","99.4298308695305","99.3953416140538","99.3615537163291","99.3284841822603","99.2961131591919","99.2644589337805","99.2335067314028","99.2032722209598","99.1737272552471","99.1448780003009","99.1167359557668","99.0892984922743","99.0625327881186","","",
"Bahrain","BHR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.958665400505","99.9567270815289","99.9547887625528","99.9528504435767","99.9509121246006","99.9489738056245","99.9470354866484","99.9450971676723","99.9431588486962","99.9412205297201","99.939282210744","99.9373438917679","99.9354055727918","99.9334672538156","99.9315289348395","99.9295906158634","99.9276522968873","99.9257139779112","99.9237756589351","99.921837339959","99.9198990209829","99.9198990209829","99.9198990209829","","",
"Bahamas, The","BHS","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2454956108156","98.2882599365839","98.3310242623522","98.3737885881206","98.4165529138889","98.4593172396572","98.5020815654256","98.5448458911939","98.5876102169622","98.6303745427305","98.6731388684989","98.7159031942672","98.7586675200355","98.8014318458038","98.8441961715722","98.8869604973405","98.8869604973405","98.8869604973405","98.8869604973405","98.8869604973405","","","","","",
"Bosnia and Herzegovina","BIH","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2697023620953","97.2215557676292","97.1708059849212","97.1174130487853","97.0613930232856","97.0027068638893","96.9413764053532","96.8773942746662","96.8107512963813","96.7414484446734","96.6694951663687","96.5948691440265","96.4500310517333","96.3520044960766","96.1681277683125","96.1598434809044","96.1512641348273","96.1423588799605","96.1331740889937","96.1237006211931","96.1138971196897","96.1038225329274","96.093474218664","","",
"Belarus","BLR","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.3562356334077","98.3485371263131","98.3409034123984","98.3333445925439","98.3288112162159","98.3188800141555","98.3110021113923","98.3051427140534","98.3012596659617","98.29934188077","98.2992552665083","98.3013146395409","98.3055460415481","98.311918430326","98.3203614644208","98.3308556431228","98.3433344843066","98.3577545705515","98.3739982007809","98.3919868544727","98.6515731688089","99.1879166519196","99.1788681126899","","",
"Belize","BLZ","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4314870895846","88.0819577807628","88.7324999475269","89.383110814731","90.0337990120702","90.6845524665774","91.3353803403276","91.9862777822027","92.6372470397192","93.2882824715469","93.9374803437478","94.5876061984861","95.2385534459309","95.8901857401957","96.5423001003273","97.1755914796041","97.5845405245812","97.9925779699681","98.3992930382773","98.4005497674635","98.4019559329424","98.4035077131603","98.4052341232454","","",
